JaccardIndex	Class
0.3333333333333333	RepoJC
0.5	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
1.0	RepoJC
1.0	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.6666666666666666	RepoJC
0.75	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.6	RepoJC
0.5	RepoJC
0.5	RepoJC
0.4	RepoJC
0.6666666666666666	RepoJC
0.2857142857142857	RepoJC
0.5	RepoJC
1.0	RepoJC
0.3333333333333333	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
1.0	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.25	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
1.0	RepoJC
0.3333333333333333	RepoJC
1.0	RepoJC
0.5	RepoJC
1.0	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.8571428571428571	RepoJC
0.6666666666666666	RepoJC
0.3333333333333333	RepoJC
0.25	RepoJC
1.0	RepoJC
0.5	RepoJC
1.0	RepoJC
0.5	RepoJC
1.0	RepoJC
0.6666666666666666	RepoJC
0.25	RepoJC
0.3333333333333333	RepoJC
0.3333333333333333	RepoJC
0.4	RepoJC
0.5	RepoJC
0.5	RepoJC
0.4	RepoJC
0.5	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.4	RepoJC
0.6666666666666666	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.25	RepoJC
0.5	RepoJC
1.0	RepoJC
0.5	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.3333333333333333	RepoJC
0.375	RepoJC
0.6666666666666666	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
1.0	RepoJC
0.5	RepoJC
0.4	RepoJC
0.5	RepoJC
0.4	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.3333333333333333	RepoJC
0.6666666666666666	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
1.0	RepoJC
0.6666666666666666	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
1.0	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.2222222222222222	RepoJC
0.4	RepoJC
1.0	RepoJC
0.5	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.1875	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.2	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.2857142857142857	RepoJC
0.5	RepoJC
1.0	RepoJC
0.5	RepoJC
1.0	RepoJC
0.4166666666666667	RepoJC
0.5	RepoJC
0.4	RepoJC
0.5	RepoJC
1.0	RepoJC
1.0	RepoJC
0.5	RepoJC
0.25	RepoJC
1.0	RepoJC
0.5	RepoJC
0.75	RepoJC
0.1388888888888889	RepoJC
0.6666666666666666	RepoJC
0.75	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
1.0	RepoJC
1.0	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
1.0	RepoJC
0.5	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
1.0	RepoJC
0.6666666666666666	RepoJC
1.0	RepoJC
0.4	RepoJC
1.0	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.3	RepoJC
1.0	RepoJC
0.3333333333333333	RepoJC
0.42857142857142855	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.6666666666666666	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
1.0	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
1.0	RepoJC
0.6666666666666666	RepoJC
0.2857142857142857	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.25	RepoJC
0.5	RepoJC
0.5	RepoJC
1.0	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.4	RepoJC
0.16666666666666666	RepoJC
0.5	RepoJC
0.5	RepoJC
1.0	RepoJC
0.3333333333333333	RepoJC
0.6666666666666666	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
1.0	RepoJC
0.5	RepoJC
0.5	RepoJC
0.2857142857142857	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
1.0	RepoJC
0.6666666666666666	RepoJC
1.0	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
1.0	RepoJC
0.5	RepoJC
0.5	RepoJC
1.0	RepoJC
0.5	RepoJC
1.0	RepoJC
0.4	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.4	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.2857142857142857	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
1.0	RepoJC
1.0	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.3333333333333333	RepoJC
0.25	RepoJC
0.5	RepoJC
0.5833333333333334	RepoJC
1.0	RepoJC
0.5	RepoJC
0.6	RepoJC
0.2857142857142857	RepoJC
0.5	RepoJC
1.0	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
1.0	RepoJC
0.5	RepoJC
0.25	RepoJC
1.0	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
1.0	RepoJC
0.6666666666666666	RepoJC
1.0	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.4444444444444444	RepoJC
0.3333333333333333	RepoJC
1.0	RepoJC
1.0	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.4	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.4	RepoJC
0.2857142857142857	RepoJC
0.5	RepoJC
0.25	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.2	RepoJC
0.6666666666666666	RepoJC
0.4	RepoJC
0.4	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
1.0	RepoJC
0.5	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.25	RepoJC
0.5	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.3333333333333333	RepoJC
0.75	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.4	RepoJC
0.2857142857142857	RepoJC
0.5	RepoJC
0.5	RepoJC
0.26666666666666666	RepoJC
0.3076923076923077	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.15151515151515152	RepoJC
0.5	RepoJC
0.25	RepoJC
0.5	RepoJC
1.0	RepoJC
0.5	RepoJC
1.0	RepoJC
1.0	RepoJC
0.5	RepoJC
0.4	RepoJC
0.5	RepoJC
1.0	RepoJC
1.0	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.25	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
1.0	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
1.0	RepoJC
0.5	RepoJC
0.75	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.25	RepoJC
0.5	RepoJC
0.5	RepoJC
1.0	RepoJC
0.25	RepoJC
0.5	RepoJC
0.4	RepoJC
0.2857142857142857	RepoJC
0.6	RepoJC
0.4	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
1.0	RepoJC
1.0	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.4	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.25	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
1.0	RepoJC
0.25	RepoJC
0.5	RepoJC
0.2857142857142857	RepoJC
0.18518518518518517	RepoJC
0.2222222222222222	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.3333333333333333	RepoJC
1.0	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.5	RepoJC
1.0	RepoJC
1.0	RepoJC
0.5	RepoJC
0.5	RepoJC
1.0	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.3333333333333333	RepoJC
0.2222222222222222	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.5	RepoJC
1.0	RepoJC
1.0	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
1.0	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
1.0	RepoJC
1.0	RepoJC
0.3333333333333333	RepoJC
1.0	RepoJC
0.5	RepoJC
1.0	RepoJC
1.0	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
1.0	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.2222222222222222	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
1.0	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
1.0	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.2	RepoJC
0.5	RepoJC
0.4	RepoJC
0.23076923076923078	RepoJC
0.3333333333333333	RepoJC
1.0	RepoJC
0.5	RepoJC
0.5	RepoJC
0.75	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
1.0	RepoJC
0.6666666666666666	RepoJC
0.4	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.5	RepoJC
0.8	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.3	RepoJC
0.4	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
1.0	RepoJC
1.0	RepoJC
0.5	RepoJC
1.0	RepoJC
0.5	RepoJC
1.0	RepoJC
1.0	RepoJC
0.25	RepoJC
0.2727272727272727	RepoJC
1.0	RepoJC
0.25	RepoJC
0.42857142857142855	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.15625	RepoJC
0.5	RepoJC
1.0	RepoJC
1.0	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
1.0	RepoJC
0.5	RepoJC
0.5	RepoJC
0.75	RepoJC
0.5	RepoJC
0.5	RepoJC
0.8	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.4	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.25	RepoJC
0.5	RepoJC
0.5	RepoJC
1.0	RepoJC
0.3333333333333333	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.42857142857142855	RepoJC
1.0	RepoJC
0.5	RepoJC
1.0	RepoJC
1.0	RepoJC
0.4	RepoJC
1.0	RepoJC
1.0	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
1.0	RepoJC
1.0	RepoJC
1.0	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.6666666666666666	RepoJC
0.4	RepoJC
1.0	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
1.0	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
1.0	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.4444444444444444	RepoJC
1.0	RepoJC
0.25	RepoJC
0.4	RepoJC
1.0	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.3333333333333333	RepoJC
1.0	RepoJC
0.5	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.25	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.3333333333333333	RepoJC
0.75	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
1.0	RepoJC
0.3	RepoJC
0.5	RepoJC
0.5	RepoJC
1.0	RepoJC
0.25	RepoJC
1.0	RepoJC
1.0	RepoJC
0.5	RepoJC
1.0	RepoJC
0.3333333333333333	RepoJC
0.4	RepoJC
0.5	RepoJC
0.5	RepoJC
1.0	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.3333333333333333	RepoJC
0.3333333333333333	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
1.0	RepoJC
0.5	RepoJC
0.75	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.4	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.5	RepoJC
1.0	RepoJC
0.3333333333333333	RepoJC
1.0	RepoJC
0.75	RepoJC
0.4	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.2857142857142857	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.2	RepoJC
1.0	RepoJC
0.5	RepoJC
1.0	RepoJC
0.4	RepoJC
0.4	RepoJC
0.5	RepoJC
0.4	RepoJC
0.375	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.4	RepoJC
0.6666666666666666	RepoJC
1.0	RepoJC
0.4	RepoJC
0.6666666666666666	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.3333333333333333	RepoJC
0.3333333333333333	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.4	RepoJC
0.5	RepoJC
0.75	RepoJC
0.5	RepoJC
1.0	RepoJC
0.5	RepoJC
0.5	RepoJC
0.4	RepoJC
0.5	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
1.0	RepoJC
0.5	RepoJC
1.0	RepoJC
0.5	RepoJC
0.2857142857142857	RepoJC
0.5	RepoJC
0.5	RepoJC
0.2857142857142857	RepoJC
0.6666666666666666	RepoJC
0.4	RepoJC
1.0	RepoJC
0.3	RepoJC
0.6666666666666666	RepoJC
1.0	RepoJC
0.15625	RepoJC
0.3333333333333333	RepoJC
1.0	RepoJC
0.6666666666666666	RepoJC
0.3333333333333333	RepoJC
1.0	RepoJC
0.5	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
1.0	RepoJC
0.5	RepoJC
1.0	RepoJC
1.0	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.6666666666666666	RepoJC
1.0	RepoJC
0.5	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.25	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.75	RepoJC
0.6666666666666666	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
1.0	RepoJC
0.2857142857142857	RepoJC
0.5	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.5	RepoJC
0.25	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.5	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
0.5	RepoJC
0.5	RepoJC
0.6666666666666666	RepoJC
1.0	RepoJC
0.6666666666666666	RepoJC
1.0	RepoJC
0.3333333333333333	RepoJC
0.23809523809523808	RepoJC
1.0	RepoJC
0.5	RepoJC
0.5	RepoJC
0.3333333333333333	RepoJC
0.5	RepoJC
0.5	RepoJC
